LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NOR,TEACHERSALARY,PRY_START,USD,A,2021,42499.31748,
NOR,TEACHERSALARY,PRY_TOP,USD,A,2021,54451.07417,
POL,TEACHERSALARY,PRY15YREXP,USD,A,2021,32039.73523,
POL,TEACHERSALARY,PRY_START,USD,A,2021,19621.95884,
POL,TEACHERSALARY,PRY_TOP,USD,A,2021,33397.82447,
PRT,TEACHERSALARY,PRY15YREXP,USD,A,2021,44412.92552,
PRT,TEACHERSALARY,PRY_START,USD,A,2021,34400.36408,
PRT,TEACHERSALARY,PRY_TOP,USD,A,2021,74254.7313,
SVK,TEACHERSALARY,PRY15YREXP,USD,A,2021,19328.64973,
SVK,TEACHERSALARY,PRY_START,USD,A,2021,16787.57903,
SVK,TEACHERSALARY,PRY_TOP,USD,A,2021,21622.03484,
ESP,TEACHERSALARY,PRY15YREXP,USD,A,2021,50547.70471,
ESP,TEACHERSALARY,PRY_START,USD,A,2021,43684.14066,
ESP,TEACHERSALARY,PRY_TOP,USD,A,2021,62368.37104,
SWE,TEACHERSALARY,PRY15YREXP,USD,A,2020,49231.83667,
SWE,TEACHERSALARY,PRY_START,USD,A,2020,42727.11214,
SWE,TEACHERSALARY,PRY_TOP,USD,A,2020,56756.91015,
CHE,TEACHERSALARY,PRY_START,USD,A,2020,60947.5412,
CHE,TEACHERSALARY,PRY_TOP,USD,A,2020,92670.54712,
TUR,TEACHERSALARY,PRY15YREXP,USD,A,2021,34255.63752,
TUR,TEACHERSALARY,PRY_START,USD,A,2021,33718.91286,
TUR,TEACHERSALARY,PRY_TOP,USD,A,2021,36778.57383,
USA,TEACHERSALARY,PRY15YREXP,USD,A,2021,63531.34108,
USA,TEACHERSALARY,PRY_START,USD,A,2021,42723.29968,
USA,TEACHERSALARY,PRY_TOP,USD,A,2021,74214.2871,
BRA,TEACHERSALARY,PRY_START,USD,A,2019,14344.89454,
EST,TEACHERSALARY,PRY_START,USD,A,2021,25448.08301,
ISR,TEACHERSALARY,PRY15YREXP,USD,A,2021,33671.21024,
ISR,TEACHERSALARY,PRY_START,USD,A,2021,23571.92503,
ISR,TEACHERSALARY,PRY_TOP,USD,A,2021,54842.44757,
SVN,TEACHERSALARY,PRY15YREXP,USD,A,2021,48203.14876,
SVN,TEACHERSALARY,PRY_START,USD,A,2021,31000.66461,
SVN,TEACHERSALARY,PRY_TOP,USD,A,2021,57831.49886,
AUS,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,68439.57065,
AUS,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,68439.57065,
AUT,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,60420.38056,
AUT,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,65748.68504,
CAN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,70331.06301,
CAN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,70331.06301,
CZE,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,28534.13386,
CZE,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,28534.13386,
DNK,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,62900.7856,
DNK,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,65826.64069,
FIN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,49168.29695,
FIN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,53061.30749,
FRA,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,43132.82133,
FRA,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,43132.82133,
DEU,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,92565.97142,
DEU,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,95933.3205,
GRC,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,27026.14303,
GRC,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,27026.14303,
HUN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,20634.86617,
HUN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,22927.62908,
IRL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,62947.52245,
IRL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,62947.52245,
ITA,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,43015.11364,
ITA,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,44211.55027,
JPN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,49355.55706,
JPN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,49355.55706,
KOR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,60246.53906,
KOR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,60246.53906,
LUX,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,112266.198,
LUX,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,112266.198,
MEX,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,44349.31236,
MEX,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,67968.20975,
NLD,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,84315.18649,
NLD,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,84315.18649,
NZL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,52698.80252,
NZL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,52698.80252,
NOR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,50677.33052,
NOR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,55523.90902,
POL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,32039.73523,
POL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,32039.73523,
PRT,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,44412.92552,
PRT,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,44412.92552,
SVK,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,19328.64973,
SVK,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,19328.64973,
ESP,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,56428.11102,
ESP,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,56428.11102,
SWE,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,50686.47164,
SWE,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,50889.90371,
TUR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,35364.62052,
TUR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,35364.62052,
USA,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,67626.13454,
USA,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,66750.11812,
COL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,43073.40685,
COL,TEACHERSALARY,PRY15YREXP,USD,A,2020,43073.40685,
COL,TEACHERSALARY,PRY_START,USD,A,2020,23618.55676,
COL,TEACHERSALARY,PRY_TOP,USD,A,2020,49534.37554,
COL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,43073.40685,
CRI,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,34471.18654,
CRI,TEACHERSALARY,PRY15YREXP,USD,A,2021,33444.7528,
CRI,TEACHERSALARY,PRY_START,USD,A,2021,26500.69459,
CRI,TEACHERSALARY,PRY_TOP,USD,A,2021,40388.81101,
CRI,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,34471.18654,
ISR,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,36243.9649,
ISR,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,39244.68552,
LVA,TEACHERSALARY,PRY_START,USD,A,2021,16534.05702,
LTU,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,35391.76484,
LTU,TEACHERSALARY,PRY15YREXP,USD,A,2021,35391.76484,
LTU,TEACHERSALARY,PRY_TOP,USD,A,2021,40286.99404,
LTU,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,35391.76484,
SVN,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2021,48203.14876,
SVN,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2021,48203.14876,
AUS,TEACHERSALARY,LOWSRY_START,USD,A,2021,46987.39214,
AUS,TEACHERSALARY,UPPSRY_START,USD,A,2021,46987.39214,
AUS,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,74454.10122,
AUT,TEACHERSALARY,LOWSRY_START,USD,A,2021,47852.73765,
AUT,TEACHERSALARY,UPPSRY_START,USD,A,2021,47914.32156,
AUT,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,95229.7252,
CAN,TEACHERSALARY,LOWSRY_START,USD,A,2021,40721.50257,
CAN,TEACHERSALARY,UPPSRY_START,USD,A,2021,40721.50257,
CAN,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,70331.06301,
CZE,TEACHERSALARY,LOWSRY_START,USD,A,2021,25615.87017,
CZE,TEACHERSALARY,UPPSRY_START,USD,A,2021,25615.87017,
CZE,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,33722.15819,
DNK,TEACHERSALARY,LOWSRY_START,USD,A,2021,54405.0008,
DNK,TEACHERSALARY,UPPSRY_START,USD,A,2021,50652.93616,
DNK,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,65826.64069,
FIN,TEACHERSALARY,LOWSRY_START,USD,A,2021,39823.95218,
FIN,TEACHERSALARY,UPPSRY_START,USD,A,2021,42089.46058,
FIN,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,56244.98594,
FRA,TEACHERSALARY,LOWSRY_START,USD,A,2021,35708.98798,
FRA,TEACHERSALARY,UPPSRY_START,USD,A,2021,35708.98798,
FRA,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,61282.12407,
DEU,TEACHERSALARY,LOWSRY_START,USD,A,2021,77357.55113,
DEU,TEACHERSALARY,UPPSRY_START,USD,A,2021,80910.63442,
DEU,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,110050.3487,
GRC,TEACHERSALARY,LOWSRY_START,USD,A,2021,20409.78436,
GRC,TEACHERSALARY,UPPSRY_START,USD,A,2021,20409.78436,
GRC,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,40258.86036,
HUN,TEACHERSALARY,LOWSRY_START,USD,A,2021,17058.43645,
HUN,TEACHERSALARY,UPPSRY_START,USD,A,2021,17058.43645,
HUN,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,32414.92387,
IRL,TEACHERSALARY,LOWSRY_START,USD,A,2021,37016.63156,
IRL,TEACHERSALARY,UPPSRY_START,USD,A,2021,37016.63156,
IRL,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,72510.05406,
ITA,TEACHERSALARY,LOWSRY_START,USD,A,2021,35428.17821,
ITA,TEACHERSALARY,UPPSRY_START,USD,A,2021,35428.17821,
ITA,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,55076.75451,
JPN,TEACHERSALARY,LOWSRY_START,USD,A,2021,29819.53314,
JPN,TEACHERSALARY,UPPSRY_START,USD,A,2021,29819.53314,
JPN,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,62670.36633,
KOR,TEACHERSALARY,LOWSRY_START,USD,A,2021,34184.86102,
KOR,TEACHERSALARY,UPPSRY_START,USD,A,2021,34184.86102,
KOR,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,95842.17611,
LUX,TEACHERSALARY,LOWSRY_START,USD,A,2021,81387.00458,
LUX,TEACHERSALARY,UPPSRY_START,USD,A,2021,81387.00458,
LUX,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,141469.7685,
MEX,TEACHERSALARY,LOWSRY_START,USD,A,2021,27898.92998,
MEX,TEACHERSALARY,UPPSRY_START,USD,A,2021,55272.45925,
MEX,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,67968.20975,
NLD,TEACHERSALARY,LOWSRY_START,USD,A,2021,48336.07921,
NLD,TEACHERSALARY,UPPSRY_START,USD,A,2021,48336.07921,
NLD,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,98654.33498,
NZL,TEACHERSALARY,LOWSRY_START,USD,A,2021,34488.15772,
NZL,TEACHERSALARY,UPPSRY_START,USD,A,2021,34488.15772,
NZL,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,52698.80252,
NOR,TEACHERSALARY,LOWSRY_START,USD,A,2021,42499.31748,
NOR,TEACHERSALARY,UPPSRY_START,USD,A,2021,50216.19975,
NOR,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,61443.32237,
POL,TEACHERSALARY,LOWSRY_START,USD,A,2021,19621.95884,
POL,TEACHERSALARY,UPPSRY_START,USD,A,2021,19621.95884,
POL,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,33397.82447,
PRT,TEACHERSALARY,LOWSRY_START,USD,A,2021,34400.36408,
PRT,TEACHERSALARY,UPPSRY_START,USD,A,2021,34400.36408,
PRT,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,74254.7313,
SVK,TEACHERSALARY,LOWSRY_START,USD,A,2021,16787.57903,
SVK,TEACHERSALARY,UPPSRY_START,USD,A,2021,16787.57903,
SVK,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,21622.03484,
ESP,TEACHERSALARY,LOWSRY_START,USD,A,2021,48796.42464,
ESP,TEACHERSALARY,UPPSRY_START,USD,A,2021,48796.42464,
ESP,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,69498.75536,
SWE,TEACHERSALARY,LOWSRY_START,USD,A,2020,44002.54832,
SWE,TEACHERSALARY,UPPSRY_START,USD,A,2020,44257.63556,
SWE,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,59052.69528,
CHE,TEACHERSALARY,LOWSRY_START,USD,A,2020,67837.26325,
CHE,TEACHERSALARY,UPPSRY_START,USD,A,2020,76392.63239,
CHE,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,117579.5422,
TUR,TEACHERSALARY,LOWSRY_START,USD,A,2021,34827.61861,
TUR,TEACHERSALARY,UPPSRY_START,USD,A,2021,34827.61861,
TUR,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,37887.17176,
USA,TEACHERSALARY,LOWSRY_START,USD,A,2021,43465.68648,
USA,TEACHERSALARY,UPPSRY_START,USD,A,2021,43438.11211,
USA,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,76055.40636,
COL,TEACHERSALARY,LOWSRY_START,USD,A,2020,23618.55676,
COL,TEACHERSALARY,UPPSRY_START,USD,A,2020,23618.55676,
COL,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,49534.37554,
CRI,TEACHERSALARY,LOWSRY_START,USD,A,2021,27310.07122,
CRI,TEACHERSALARY,UPPSRY_START,USD,A,2021,27310.07122,
CRI,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,41632.30186,
EST,TEACHERSALARY,LOWSRY_START,USD,A,2021,25448.08301,
EST,TEACHERSALARY,UPPSRY_START,USD,A,2021,25448.08301,
ISR,TEACHERSALARY,LOWSRY_START,USD,A,2021,23684.26479,
ISR,TEACHERSALARY,UPPSRY_START,USD,A,2021,27893.4613,
ISR,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,56279.76587,
LVA,TEACHERSALARY,LOWSRY_START,USD,A,2021,16534.05702,
LVA,TEACHERSALARY,UPPSRY_START,USD,A,2021,16534.05702,
LTU,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,40286.99404,
SVN,TEACHERSALARY,LOWSRY_START,USD,A,2021,31000.66461,
SVN,TEACHERSALARY,UPPSRY_START,USD,A,2021,31000.66461,
SVN,TEACHERSALARY,UPPSRY_TOP,USD,A,2021,57831.49886,
AUS,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,74454.10122,
AUT,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,89609.6546,
CAN,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,70331.06301,
CZE,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,33803.22107,
DNK,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,62900.7856,
FIN,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,52118.39477,
FRA,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,61282.12407,
DEU,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,100962.2286,
GRC,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,40258.86036,
HUN,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,29173.43148,
IRL,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,72510.05406,
ITA,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,52696.75729,
JPN,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,61066.59712,
KOR,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,95842.17611,
MEX,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,55633.39277,
NLD,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,98654.33498,
NZL,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,52698.80252,
NOR,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,54451.07417,
POL,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,33397.82447,
PRT,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,74254.7313,
SVK,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,21622.03484,
ESP,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,69498.75536,
SWE,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,58287.43357,
CHE,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,103951.5206,
TUR,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,37887.17176,
USA,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,77596.38924,
COL,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,49534.37554,
CRI,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,41632.30186,
ISR,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,57366.38734,
LTU,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,40286.99404,
SVN,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,57831.49886,
LUX,TEACHERSALARY,LOWSRY_TOP,USD,A,2021,141469.7685,
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,70036.40243,
AUS,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,46770.26498,
AUS,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,72461.04462,
CZE,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,25534.80729,
CZE,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,23913.54968,
CZE,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,28372.0081,
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,53263.56588,
DNK,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,46955.12414,
DNK,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,53263.56588,
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,35802.99129,
FIN,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,32525.42885,
FIN,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,35802.99129,
FRA,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,40042.83113,
FRA,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,32618.99779,
FRA,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,57884.78285,
GRC,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,27026.14303,
GRC,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,20409.78436,
GRC,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,40258.86036,
HUN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,20634.86617,
HUN,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,17058.43645,
HUN,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,29173.43148,
ITA,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,39562.8517,
ITA,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,32963.49461,
ITA,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,47989.67305,
KOR,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,60184.51693,
KOR,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,34122.83889,
KOR,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,95780.15398,
LUX,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,104845.6117,
LUX,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,71812.06226,
LUX,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,126867.978,
MEX,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,34704.17211,
MEX,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,21948.30076,
MEX,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,43709.03871,
NLD,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,70899.22768,
NLD,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,45593.65298,
NLD,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,85359.72589,
NOR,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,47185.91183,
NOR,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,38716.163,
NOR,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,47656.45344,
POL,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,32039.73523,
POL,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,19621.95884,
POL,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,33397.82447,
PRT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,44412.92552,
PRT,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,34400.36408,
PRT,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,74254.7313,
SVK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,15824.35728,
SVK,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,13549.31925,
SVK,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,17704.93307,
ESP,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,50547.70471,
ESP,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,43684.14066,
ESP,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2021,62368.37104,
SWE,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,44655.57165,
SWE,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,42216.93766,
SWE,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,49175.71748,
CHE,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,56404.86732,
CHE,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,86310.80369,
TUR,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2021,34255.63752,
TUR,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2021,33718.91286,
